2013 RO30,2083-2095,8,8.10E-05,9.26,28.4,0.007,-5.99,-6.12,0
2007 YM,2020-2113,194,4.30E-06,7.58,26.3,0.018,-6.01,-7.01,0
2012 UU68,2101-2101,2,2.80E-07,6.9,23.1,0.082,-6.02,-6.24,0
2013 BR27,2073-2110,43,2.90E-05,10.95,27.7,0.01,-6.03,-6.49,0
2004 FH,2086-2114,8,8.50E-06,6.95,26.1,0.02,-6.04,-6.45,0
2013 HT14,2043-2077,4,2.30E-06,20.53,26.3,0.019,-6.06,-6.24,0
2013 JM22,2095-2095,1,7.00E-08,29.68,23.3,0.075,-6.07,-6.07,0
2009 BF58,2068-2112,21,2.40E-05,6.69,27.2,0.012,-6.08,-6.39,0
2015 BE511,2057-2103,6,6.40E-05,9.88,28.7,0.006,-6.09,-6.19,0
2002 TY59,2110-2110,1,3.20E-06,8.24,25.4,0.028,-6.09,-6.09,0
2014 SR261,2058-2111,8,4.70E-06,15.27,26.8,0.015,-6.09,-6.18,0
2006 HE2,2042-2112,15,7.50E-06,5.04,26.5,0.017,-6.09,-6.38,0
2007 EO88,2073-2111,8,6.50E-06,10.95,26.4,0.018,-6.1,-6.53,0
2008 EV84,2041-2106,5,5.80E-07,12.93,25.3,0.029,-6.11,-6.11,0
2012 XM16,2081-2107,2,2.50E-06,12.68,25.8,0.024,-6.11,-6.17,0
2011 DS,2074-2114,14,1.40E-05,6.54,27,0.013,-6.11,-6.36,0
2010 HP20,2021-2072,342,2.90E-05,7.48,28.2,0.008,-6.11,-7.55,0
2014 UX34,2084-2084,1,2.40E-08,26.07,22.4,0.11,-6.11,-6.11,0
2012 CL17,2095-2112,19,1.60E-06,21.49,25.7,0.024,-6.12,-6.61,0
2011 CF66,2018-2111,537,1.40E-05,11.16,27.6,0.01,-6.12,-7.08,0
2005 SO1,2093-2111,8,2.10E-06,11.98,25.4,0.028,-6.12,-6.46,0
2014 JT79,2015-2113,807,9.50E-07,12.38,26.6,0.017,-6.12,-6.91,0
2009 SM98,2112-2112,1,4.50E-08,18.54,22.3,0.12,-6.13,-6.13,0
2013 WZ44,2111-2111,1,2.90E-06,12.56,25.7,0.025,-6.13,-6.13,0
2011 UL169,2052-2073,4,3.40E-05,9.4,28.3,0.007,-6.14,-6.14,0
2009 TD17,2047-2112,49,2.30E-05,6.57,27.7,0.01,-6.14,-6.93,0
2006 WZ29,2060-2060,1,4.60E-07,11.53,24.7,0.039,-6.17,-6.17,0
2009 RR,2098-2110,14,2.10E-06,12.96,25.6,0.026,-6.18,-6.92,0
2008 YV32,2085-2107,11,5.90E-06,8.78,26.4,0.018,-6.19,-6.69,0
2009 HS44,2111-2111,1,4.50E-06,18.29,26.6,0.017,-6.19,-6.19,0
2014 FE,2034-2081,12,3.80E-06,19.84,27.6,0.01,-6.2,-6.4,0
